연번,의료기관명,요양종별,관계 행정기관,근거 법령,설립형태,응급지정,허가병상수,주소,홈페이지,대표전화,FAX
37,경기도의료원의정부병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,203,경기도 의정부시 흥선로 142 (의정부동),www.medical.or.kr/uijeongbu/index.do,031-828-5000,031-828-5000
38,경기도의료원포천병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,142,경기도 포천시 포천로 1648 (신읍동),www.medical.or.kr/pocheon/index.do,031-539-9114,031-539-9114
39,경기도의료원파주병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,200,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",www.medical.or.kr/paju/index.do,031-940-9100,031-940-9100
40,경기도의료원 안성병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,201,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",www.medical.or.kr/ansung/index.do,031-8046-5000,031-8046-5000
41,국민건강보험공단일산병원,종합병원,보건복지부,국민건강보험법,공립(기타),권역응급의료센터,850,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",www.nhimc.or.kr,031-900-0114,031-900-0114
42,국립암센터,종합병원,보건복지부,암관리법,공립(기타),지역응급의료기관,550,경기도 고양시 일산동구 일산로 323 (마두동),www.ncc.re.kr,1588-8110,1588-8110
43,국군수도병원,종합병원,국방부,국군조직법,군병원,지역응급의료기관,676,경기도 성남시 분당구 새마을로177번길 81 (율동),,1688-9151,1688-9151
44,분당서울대학교병원,상급종합병원,교육부,서울대학교병원 설치법,공립(기타),권역응급의료센터,1335,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",www.snubh.org,1588-3369,1588-3369
45,경기도의료원 수원병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,167,경기도 수원시 장안구 수성로245번길 69 (정자동),www.medical.or.kr/suwon/index.do,031-888-0114,031-888-0114
46,근로복지공단안산병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,380,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",www.comwel.or.kr/ansan,031-500-1114,031-500-1114
47,경기도의료원 이천병원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,206,경기도 이천시 경충대로 2742 (관고동),www.medical.or.kr/icheon/index.do,031-630-4200,031-630-4200
48,근로복지공단인천병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),,334,"인천광역시 부평구 무네미로 446-  (구산동,(구산동))",www.comwel.or.kr/incheon,032-500-0114,032-500-0114
49,성남시의료원,종합병원,경기도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,299,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",https://www.scmc.kr,031-738-7000,031-738-7000
50,인천적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,122,"인천광역시 연수구 원인재로 263 (연수동,263)",www.rch.or.kr/incheon,032-899-4000,032-899-4000
51,국군포천병원,병원,국방부,국군조직법,군병원,,100,경기도 포천시 화현면 화동로 564,,1688-9164,1688-9164
52,국군양주병원,병원,국방부,국군조직법,군병원,,342,경기도 양주시 은현면 화합로 1133,,1688-9163,1688-9163
53,국군고양병원,병원,국방부,국군조직법,군병원,,150,경기도 고양시 덕양구 혜음로 215 (벽제동),,1688-9162,1688-9162
54,서울특별시 백암정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,238,경기도 용인시 처인구 백암면 용천로71번길 30,www.baekammh.or.kr,031-332-3194,031-332-3194
55,인천광역시의료원백령병원,병원,인천광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,30,"인천광역시 옹진군 백령면 백령로 233, 인천광역시의료원 백령병원",http://www.icmc.or.kr/,032-836-1731,032-836-1731
56,서울특별시축령정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,206,경기도 남양주시 수동면 외방로172번길 58,www.crmh.or.kr,031-592-6661,031-592-6661
57,국립교통재활병원,병원,국토교통부,자동차손해배상보장법,국립,,268,경기도 양평군 양평읍 중앙로 260,https://www.ntrh.or.kr,031-580-5555,031-580-5555
58,국군구리병원,병원,국방부,국군조직법,군병원,,42,"경기도 구리시 인창2로 177 (인창동, 국군구리병원)",,1688-9161,1688-9161
59,한국보훈복지의료공단 인천보훈병원,병원,국가보훈처,한국보훈복지의료공단법,특수법인,,137,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 지(1,2),1~7층 (용현동)",http://incheon.bohun.or.kr,032-363-9800,032-363-9800
60,경인권역재활병원,병원,대한적십자사,"장애인복지법, 대한적십자사 조직법",공립(기타),,120,인천광역시 연수구 원인재로 263 (연수동),www.rch.or.kr/gyeongin,032-899-4000,032-899-4000
61,인천시립치매요양병원,요양병원,인천광역시,인천광역시립노인치매요양병원 설치 및 운영 조례,공립(시군구립),,137,인천광역시 서구 심곡로132번길 21-1 (심곡동),www.icesh.co.kr,032-562-5101,032-562-5101
62,안산시립노인전문병원,요양병원,경기도,안산시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,210,경기도 안산시 상록구 차돌배기로 24 (사동),http://www.bumomam.or.kr,031-8040-5114,031-8040-5114
63,경기도립노인전문동두천병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,의료법인,,235,경기도 동두천시 탑신로 536 (탑동동),gdsilver.co.kr,031-860-4114,031-860-4114
64,경기도립노인전문여주병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,190,경기도 여주시 북내면 도예로 361-14,www.noinhospital.or.kr,031-886-4100,031-886-4100
65,경기도립노인전문용인병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,204,경기도 용인시 기흥구 중부대로 940 (상하동),www.silvernet.or.kr,031-288-0400,031-288-0400
66,인천제2시립노인치매요양병원,요양병원,인천광역시,인천광역시립노인치매요양병원 설치 및 운영 조례,공립(시도립),,190,"인천광역시 계양구 드림로 852, 노인치매요양병원 (갈현동)",http://www.hallymsh.net/,032-554-8300,032-554-8300
67,경기도립노인전문남양주병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,244,경기도 남양주시 수동면 외방로172번길 50,www.gngh.or.kr,031-590-5000,031-590-5000
68,경기도립노인전문시흥병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,259,"경기도 시흥시 하중로 285, 경기도립 노인전문 시흥병원 (광석동)",www.gshospital.com,031-500-7100,031-500-7100
69,근로복지공단 경기요양병원,요양병원,고용노동부,산업재해보상보험법,공립(기타),,140,경기도 화성시 우정읍 쌍봉로 465-4,www.comwel.or.kr/gyeonggi,031-351-3083,031-351-3083
70,경기도립노인전문 평택병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,252,경기도 평택시 삼남로 312 (도일동),goodmsilver.co.kr,031-669-9988,031-669-9988
71,부천시립노인전문병원,요양병원,경기도,부천시 노인전문병원 및 노인복지시설 설치·운영에 관한 조례,공립(시군구립),,234,경기도 부천시 까치로 26 (작동),www.bucheonh.com,032-713-7300,032-713-7300
72,새로운경기도립정신병원,정신병원,경기도,경기도립정신병원 설치 및 운영에 관한 조례,공립(시도립),,50,"경기도 용인시 기흥구 중부대로 940, 새로운경기도립정신병원 (상하동)",http://recovery-hospital.or.kr/,031-300-6200,031-300-6200
73,고양정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시군구립),,274,경기도 고양시 덕양구 통일로1102번길 46 (내유동),http://www.kymhosp.com/,031-969-0885,031-969-0885
74,강원특별자치도 삼척의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,148,"강원특별자치도 삼척시 오십천로 418-0 (남양동,삼척의료원)",http://ksmc.or.kr,033-572-1141,033-573-8424
75,강원특별자치도 영월의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,184,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),http://www.youngwol.org,033-370-9117,033-370-9137
76,강원특별자치도 원주의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,234,"강원특별자치도 원주시 서원대로 387 (개운동, (개운동))",www.kwmc.or.kr,033-760-4500,033-761-5121
77,강원특별자치도속초의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,177,"강원특별자치도 속초시 영랑호반길 3 (영랑동, (영랑동))",http://www.sokchomc.co.kr,033-630-6000,033-630-6004
78,강원특별자치도강릉의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,155,"강원특별자치도 강릉시 경강로 2007-  (남문동,2007)",http://www.gnmc.or.kr,033-610-1200,033-610-1415
79,강원대학교병원,종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,632,"강원특별자치도 춘천시 백령로 156-  (효자동,(효자동))",http://www.knuh.or.kr,033-258-2000,033-258-2000
80,근로복지공단 태백병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,247,"강원특별자치도 태백시 보드미길 8-  (장성동, (장성동))",www.comwel.or.kr/taebaek,033-580-3114,033-580-3114
81,근로복지공단 동해병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,259,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",www.comwel.or.kr/donghae,033-530-3100,033-530-3100
82,국군춘천병원,병원,국방부,국군조직법,군병원,,152,"강원특별자치도 춘천시 방고개길 57-  (신동,57)",,1688-9166,1688-9166
83,국군홍천병원,병원,국방부,국군조직법,군병원,,84,강원특별자치도 홍천군 두촌면 아홉사리로 53-  (53),,1688-9167,1688-9167
84,국군강릉병원,병원,국방부,국군조직법,군병원,,97,강원특별자치도 강릉시 주문진읍 동해대로 4371-34 (4371),,1688-9165,1688-9165
85,강원특별자치도 재활병원,병원,강원특별자치도,장애인복지법,공립(시도립),,148,"강원특별자치도 춘천시 충열로142번길 24-16 (우두동, (우두동))",www.grh.or.kr,033-248-7700,033-248-7713
86,근로복지공단 정선병원,병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,165,강원특별자치도 정선군 정선읍 봉양1길 145-0 ( ),www.comwel.or.kr/jeongseon,033-560-7100,033-560-7100
87,재)정선의료재단 군립병원,병원,강원도,정선군 군립 의료기관 설치 및 운영에 관한 조례,재단법인,,30,강원특별자치도 정선군 사북읍 지장천로 727-  ( ),http://www.jeongseonmc.com/,033-592-3121,033-592-3121
88,춘천시노인전문병원,요양병원,강원도,춘천시 노인 전문병원 설치 및 운영 조례,공립(시도립),,166,강원특별자치도 춘천시 동면 세실로 252,http://ccsilverhospital.co.kr,033-240-7500,033-240-7500
89,강원특별자치도립 강릉요양병원,요양병원,강원특별자치도,강원도립강릉요양병원 설치 및 운영 조례,공립(시도립),,126,"강원특별자치도 강릉시 경강로 2007-2007 (남문동,2007)",http://www.gnmch.or.kr,033-640-8800,033-640-8825
90,국립춘천병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,153,강원특별자치도 춘천시 동산면 영서로 824 (824),www.cnmh.go.kr,033-260-3000,033-260-3000
91,강릉원주대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,국립,,15,"강원특별자치도 강릉시 죽헌길 7-  (지변동, (지변동))",https://www.gwnudh.or.kr,033-640-3114,033-640-3114
92,충청북도 청주의료원,종합병원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,583,"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",http://www.cjmc.or.kr,043-279-0114,043-279-0114
93,충청북도 충주의료원,종합병원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,294,"충청북도 충주시 안림로 239-50 (안림동,충청북도충주의료원)",www.cjmct.or.kr ,043-871-0114,043-871-0114
94,충북대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,804,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",https://www.cbnuh.or.kr,1533-0075,1533-0075
95,공군항공우주의료원,병원,국방부,국군조직법,군병원,,50,충청북도 청주시 상당구 남일면 단재로 635-0,,043-290-5420,043-290-5420
96,충주위담통합병원,병원,충청북도,충주시 통합의학센터 설립 및 운영 조례,공립(시군구립),,134,충청북도 충주시 수안보면 수안보로 129-0,https://m.cjweedahm.com/,043-846-2220,
97,충주시노인전문병원,요양병원,충청북도,충주시노인전문병원 설치와 운영 조례,공립(시군구립),,281,충청북도 충주시 동량면 충원대로 1398-0 (충주시노인전문병원),www.hyolife.com,043-855-9393,043-855-9393
98,충북도립노인전문병원,요양병원,충청북도,충북도립노인전문병원 설치 및 운영 조례,공립(시도립),,126,"충청북도 청주시 서원구 청남로 1910-0 (미평동,충북도립노인전문병원)",www.noinhsp.co.kr,043-298-9011,043-298-9011
99,단양군립노인요양병원,요양병원,충청북도,단양군립노인요양병원 설치 및 운영 조례,공립(시군구립),,98,충청북도 단양군 단양읍 별곡6길 10-0 (단양군노인요양전문병원),http://dymh.co.kr/,043-423-8844,043-423-8844
100,청풍호노인사랑병원,요양병원,충청북도,제천시 청풍호 노인사랑병원 설치 및 운영조례,공립(시군구립),,167,충청북도 제천시 금성면 청풍호로 1147-0,www.cplove.co.kr,043-646-0808,043-646-0808
101,영동군립노인전문병원,요양병원,충청북도,영동군립 노인전문병원 설치 및 운영 조례,공립(시군구립),,120,충청북도 영동군 영동읍 대학로 290,www.cmisilver.co..kr,043-744-9633,043-744-9633
102,청주시립요양병원,요양병원,충청북도,청주시립요양병원 설치 및 운영에 관한 조례,공립(시군구립),,197,"충청북도 청주시 서원구 궁뜰로62번길 29-0 (장성동,청주시노인전문병원)",https://blog.naver.com/cjsl0601,043-220-8000,043-220-8000
103,충청북도청주의료원부설한의원,한의원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),,4,"충청북도 청주시 서원구 흥덕로 48 (사직동, 청주의료원)",,043-279-2665,
104,충남대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,1237,"대전광역시 중구 문화로 282-  (대사동,(대사동))",WWW.cnuh.co.kr,1599-7123,1599-7123
105,충청남도 홍성의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,402,충청남도 홍성군 홍성읍 조양로 224,https://www.hsmc.or.kr/,041-630-6114,041-630-6114
106,충청남도 공주의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,272,충청남도 공주시 무령로 77 (웅진동),http://gjmc.or.kr,041-962-1111,041-962-1111
107,충청남도 천안의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,294,충청남도 천안시 동남구 충절로 537 (삼룡동),http://www.camc.or.kr,041-570-7114,041-570-7114
108,충청남도 서산의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,278,충청남도 서산시 중앙로 149 (석림동),https://seosanmc.or.kr/,041-689-7000,041-689-7000
109,대전보훈병원,종합병원,국가보훈처,한국보훈복지의료공단법,특수법인,지역응급의료기관,387,"대전광역시 대덕구 대청로82번길 147 (신탄진동,147)",http://daejeon.bohun.or.kr,042-939-0114,042-939-0114
110,근로복지공단 대전병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),,268,"대전광역시 대덕구 계족로 637 (법동, (법동))",www.comwel.or.kr/daejeon,042-670-5114,042-670-5114
111,세종충남대학교병원,종합병원,교육부,국립대학병원 설치법,특수법인,지역응급의료센터,408,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",WWW.cnush.co.kr,1800-3114,1800-3114
112,국군대전병원,병원,국방부,국군조직법,군병원,,446,"대전광역시 유성구 자운로 90-0 (자운동, (자운동))",,1688-9152,1688-9152
113,대전세종충남·넥슨후원 공공어린이재활병원,병원,대전광역시,대전충남권 공공 어린이 재활병원 설치 및 운영 조례,공립(시도립),,50,"대전광역시 서구 도안중로 133-0 (관저동,대전세종충남넥슨후원공공어린이재활병원)",https://dpcrh.or.kr/,042-330-2110,
114,국립공주병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,100,"충청남도 공주시 고분티로 623-21 (오곡동, 국립공주병원)",http://www.knmh.go.kr/,041-850-5700,041-850-5700
115,대전광역시립제1노인전문병원,요양병원,대전광역시,대전광역시 노인전문병원설치 및 운영조례,공립(시도립),,290,"대전광역시 유성구 유성대로 1422 (방현동,1422)",http://www.ilovenoin.com,042-280-5000,042-280-5000
116,논산시립노인전문병원,요양병원,충청남도,논산시립노인전문병원 설치 및 운영조례,공립(시군구립),,117,충청남도 논산시 시민로294번길 11 (취암동),http://nshosp.co.kr/,041-734-9911,041-734-9911
117,서천군립노인요양병원,요양병원,충청남도,서천군 서천어메니티 복지마을 운영조례,공립(시군구립),,197,충청남도 서천군 종천면 충서로302번길 88-12,http://www.scbokjitown.or.kr/,041-950-1001,041-950-1001
118,보령시립노인전문병원,요양병원,충청남도,보령시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,160,충청남도 보령시 청라면 질재로 373 (보령시립노인전문병원),http://www.brnoin.com/,041-935-1166,041-935-1166
119,대전광역시립제2노인전문병원,요양병원,대전광역시,대전광역시 노인전문병원설치 및 운영조례,공립(시도립),,163,"대전광역시 동구 산내로 300 (하소동, (하소동))",http://www.cmisilverdaejeon.com/,042-272-9633,042-272-9633
120,천안시립노인전문병원,요양병원,충청남도,천안시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,144,충청남도 천안시 동남구 목천읍 삼방로 735 (천안시립노인전문병원),http://www.cheonangh.co.kr/,041-521-1114,041-521-1114
121,국립법무병원,정신병원,법무부,법무부와 그 소속기관 직제,국립,,1200,충청남도 공주시 반포면 반포초교길 253 (공주치료감호소),www.cppb.go.kr,041-840-5400,041-840-5400
122,대전광역시온마음병원,정신병원,대전광역시,대전광역시립정신병원 설치조례,공립(시도립),,175,"대전광역시 유성구 진잠옛로135번길 87-  (학하동, (학하동))",http://www.ssbw.co.kr/,042-823-9101,042-823-4405
123,전북대학교병원,상급종합병원,교육부,국립대학병원 설치법,국립,권역응급의료센터,1157,"전라북도 전주시 덕진구 건지로 20 (금암동, (금암동))",http://www.jbuh.co.kr,1577-7877,1577-7877
124,전라북도 남원의료원,종합병원,전라북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,200,"전라북도 남원시 충정로 365 (고죽동,(고죽동))",https://www.namwonmed.or.kr,063-620-1114,063-620-1114
125,전라북도 군산의료원,종합병원,전라북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,334,"전라북도 군산시 의료원로 27 (지곡동,(지곡동, 군산의료원))",https://www.kunmed.or.kr/,063-472-5000,063-472-5000
